"card_id","card_name","old_count","new_count","deck_delta_relation","rule_id","source_file","line_range","dependency_role","frozen_trigger","frozen_action_or_effect","v0_behavior","v1_requirement","v2_requirement","public_semantic_retained","evidence_status","notes"
"19","Telepath Psychic Energy","4","4","SHARED_UNCHANGED","P.SCORE.ATTACH.S","_cumulative_parent.py","6172-6206","KEEP","legal energy attachment","rank retreat need Abra line and Duns draw","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"19","Telepath Psychic Energy","4","4","SHARED_UNCHANGED","I.PSYCHIC_READINESS","planner_final_policy.py","735-842;1274-1408","KEEP","parent END/attach consumption with exact H0 or unique H1","attach Basic/Telepath; optional search; attack or reserve","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"19","Telepath Psychic Energy","4","4","SHARED_UNCHANGED","I.TERMINAL_ATTACH","planner_policy.py","539-591;791-815","UNKNOWN","exact two-prize state and parent Enriching-to-bench","Basic to active; Powerful Hand; select two prizes","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","likely shadowed but not totally proven dead"
"66","Dudunsparce","2","2","SHARED_UNCHANGED","P.OVERLAY.RUN_AWAY_HIT_BOUND","_cumulative_parent.py","6298-6344","KEEP","safe three-draw strictly reduces hits to KO","raise cheapest bench Dudunsparce ability score above Powerful Hand","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"66","Dudunsparce","2","2","SHARED_UNCHANGED","P.MODEL.HAND","_cumulative_parent.py","5704-5751","MODIFY_IN_V1","estimate Powerful Hand after candidate action","project hand and counter count","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"66","Dudunsparce","2","2","SHARED_UNCHANGED","P.SCORE.CARD.SHARED","_cumulative_parent.py","5911-6012","KEEP","switch setup search attach bench deck contexts","rank Alakazam line Duns engine and energies","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"66","Dudunsparce","2","2","SHARED_UNCHANGED","P.SCORE.ATTACH.S","_cumulative_parent.py","6172-6206","KEEP","legal energy attachment","rank retreat need Abra line and Duns draw","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"66","Dudunsparce","2","2","SHARED_UNCHANGED","P.SCORE.EVOLVE","_cumulative_parent.py","6208-6239","KEEP","legal evolve option","rank Alakazam Kadabra Dudunsparce with draw safety","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"66","Dudunsparce","2","2","SHARED_UNCHANGED","P.SCORE.ABILITY.S","_cumulative_parent.py","6240-6265","KEEP","Dudunsparce or Fez ability legal","score only when needed and safe","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"66","Dudunsparce","2","2","SHARED_UNCHANGED","P.SCORE.RETREAT_ATTACK","_cumulative_parent.py","6271-6294","KEEP","legal retreat or attack","preserve ready Alakazam; score Powerful Hand/Super Psy Bolt/Teleport","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"66","Dudunsparce","2","2","SHARED_UNCHANGED","I.ACTIVE_DUDUN_KO","planner_active_dudunsparce_ko.py","199-215;357-416;593-614","MODIFY_IN_V1","damaged active Dudun and unique ready lethal bench after three draws","Run Away; promote; exact KO attack","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"66","Dudunsparce","2","2","SHARED_UNCHANGED","I.RUN_AWAY_SETUP","planner_policy.py","417-468;653-677","MODIFY_IN_V2","parent END; active unenergized Dudun; no H0/H1; safe draw","Run Away then Genesect-first or lowest-serial promotion","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","new deck falls back to serial order"
"140","Fezandipiti ex","1","1","SHARED_UNCHANGED","P.TX.HILDA_RESERVE","_cumulative_parent.py","557-801;6527-6552","KEEP","Hilda child with lone-active Dunsparce emergency","choose Enriching then active attach and reserve/Poffin/Pad","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","deleted tuple entries are inert"
"140","Fezandipiti ex","1","1","SHARED_UNCHANGED","P.TX.FEZ_BRIDGE","_cumulative_parent.py","3920-4325","KEEP","active Fez with paid retreat and exact continuity","retreat; pay; promote Alakazam; Powerful Hand","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"140","Fezandipiti ex","1","1","SHARED_UNCHANGED","P.MODEL.HAND","_cumulative_parent.py","5704-5751","MODIFY_IN_V1","estimate Powerful Hand after candidate action","project hand and counter count","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"140","Fezandipiti ex","1","1","SHARED_UNCHANGED","P.SCORE.CARD.SHARED","_cumulative_parent.py","5911-6012","KEEP","switch setup search attach bench deck contexts","rank Alakazam line Duns engine and energies","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"140","Fezandipiti ex","1","1","SHARED_UNCHANGED","P.SCORE.PLAY_POKEMON.S","_cumulative_parent.py","6018-6066","KEEP","legal Pokemon PLAY during main/setup","rank Abra Duns Fez Shaymin with bench guards","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"140","Fezandipiti ex","1","1","SHARED_UNCHANGED","P.SCORE.ABILITY.S","_cumulative_parent.py","6240-6265","KEEP","Dudunsparce or Fez ability legal","score only when needed and safe","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"140","Fezandipiti ex","1","1","SHARED_UNCHANGED","P.SCORE.RETREAT_ATTACK","_cumulative_parent.py","6271-6294","KEEP","legal retreat or attack","preserve ready Alakazam; score Powerful Hand/Super Psy Bolt/Teleport","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"142","Genesect","1","0","REMOVED","P.TX.HILDA_RESERVE","_cumulative_parent.py","557-801;6527-6552","KEEP","Hilda child with lone-active Dunsparce emergency","choose Enriching then active attach and reserve/Poffin/Pad","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","deleted tuple entries are inert"
"142","Genesect","1","0","REMOVED","P.TX.GUARDED_TELEPORT","_cumulative_parent.py","2196-2553","MODIFY_IN_V1","final parent retreat from energized Abra with exact promotion","replace retreat with Teleportation and frozen promotion","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","extend exact allowlist deliberately"
"142","Genesect","1","0","REMOVED","P.SCORE.PLAY_POKEMON.D","_cumulative_parent.py","6046-6056","REMOVE","Genesect before ACE or Psyduck water/Duskull context","rank or reject deleted Pokemon","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","NONE"
"142","Genesect","1","0","REMOVED","P.SCORE.ATTACH.D1156","_cumulative_parent.py","6163-6170","REMOVE","legal Helmet attachment","score 7000 plus Genesect/position bonuses","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","NONE"
"142","Genesect","1","0","REMOVED","P.SCORE.RETREAT_ATTACK","_cumulative_parent.py","6271-6294","KEEP","legal retreat or attack","preserve ready Alakazam; score Powerful Hand/Super Psy Bolt/Teleport","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","NONE"
"142","Genesect","1","0","REMOVED","I.HILDA_ENRICHING","planner_policy.py","353-414;615-650","KEEP","Hilda energy child without H0/H1/Telepath target and safe draw","choose Enriching then active attach; verify draw four","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","NONE"
"142","Genesect","1","0","REMOVED","I.RUN_AWAY_SETUP","planner_policy.py","417-468;653-677","MODIFY_IN_V2","parent END; active unenergized Dudun; no H0/H1; safe draw","Run Away then Genesect-first or lowest-serial promotion","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","new deck falls back to serial order"
"142","Genesect","1","0","REMOVED","I.FAN_RESPONSE","planner_policy.py","485-536;733-788","REMOVE","Handheld Fan response to positive attack","attach/move energy to minimize readiness","own-deck route unreachable; identifier retained for public/opponent semantics","remove own-only assumption while retaining opponent/public interpretation","no generic v2 change planned","TRUE","STATIC_SOURCE_VERIFIED","NONE"
"305","Dunsparce","3","3","SHARED_UNCHANGED","P.TX.HILDA_RESERVE","_cumulative_parent.py","557-801;6527-6552","KEEP","Hilda child with lone-active Dunsparce emergency","choose Enriching then active attach and reserve/Poffin/Pad","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","deleted tuple entries are inert"
"305","Dunsparce","3","3","SHARED_UNCHANGED","P.SCORE.CARD.SHARED","_cumulative_parent.py","5911-6012","KEEP","switch setup search attach bench deck contexts","rank Alakazam line Duns engine and energies","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"305","Dunsparce","3","3","SHARED_UNCHANGED","P.SCORE.PLAY_POKEMON.S","_cumulative_parent.py","6018-6066","KEEP","legal Pokemon PLAY during main/setup","rank Abra Duns Fez Shaymin with bench guards","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"305","Dunsparce","3","3","SHARED_UNCHANGED","P.SCORE.ATTACH.S","_cumulative_parent.py","6172-6206","KEEP","legal energy attachment","rank retreat need Abra line and Duns draw","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"305","Dunsparce","3","3","SHARED_UNCHANGED","P.SCORE.RETREAT_ATTACK","_cumulative_parent.py","6271-6294","KEEP","legal retreat or attack","preserve ready Alakazam; score Powerful Hand/Super Psy Bolt/Teleport","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"305","Dunsparce","3","3","SHARED_UNCHANGED","I.ACTIVE_DUDUN_KO","planner_active_dudunsparce_ko.py","199-215;357-416;593-614","MODIFY_IN_V1","damaged active Dudun and unique ready lethal bench after three draws","Run Away; promote; exact KO attack","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"343","Shaymin","1","1","SHARED_UNCHANGED","P.TX.HILDA_RESERVE","_cumulative_parent.py","557-801;6527-6552","KEEP","Hilda child with lone-active Dunsparce emergency","choose Enriching then active attach and reserve/Poffin/Pad","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","deleted tuple entries are inert"
"343","Shaymin","1","1","SHARED_UNCHANGED","P.GUARD.FRAGILE_ABRA","_cumulative_parent.py","852-897;6346-6396","KEEP","spread threat late prize clock and staged successor","suppress top Abra PLAY","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"343","Shaymin","1","1","SHARED_UNCHANGED","P.SCORE.CARD.SHARED","_cumulative_parent.py","5911-6012","KEEP","switch setup search attach bench deck contexts","rank Alakazam line Duns engine and energies","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"343","Shaymin","1","1","SHARED_UNCHANGED","P.SCORE.PLAY_POKEMON.S","_cumulative_parent.py","6018-6066","KEEP","legal Pokemon PLAY during main/setup","rank Abra Duns Fez Shaymin with bench guards","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"741","Abra","4","4","SHARED_UNCHANGED","P.TX.HILDA_RESERVE","_cumulative_parent.py","557-801;6527-6552","KEEP","Hilda child with lone-active Dunsparce emergency","choose Enriching then active attach and reserve/Poffin/Pad","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","deleted tuple entries are inert"
"741","Abra","4","4","SHARED_UNCHANGED","P.TX.GUARDED_TELEPORT","_cumulative_parent.py","2196-2553","MODIFY_IN_V1","final parent retreat from energized Abra with exact promotion","replace retreat with Teleportation and frozen promotion","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","extend exact allowlist deliberately"
"741","Abra","4","4","SHARED_UNCHANGED","P.TX.STRANDED_RETREAT","_cumulative_parent.py","3537-3914","KEEP","END or nonlethal active with lethal ready bench Alakazam","retreat; pay; promote; Powerful Hand","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"741","Abra","4","4","SHARED_UNCHANGED","P.TX.ZERO_DECK_ASH","_cumulative_parent.py","5131-5204;5315-5405","KEEP","deck zero and parent chose nonterminal attack","Sacred Ash; restore first legal recoverables","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"741","Abra","4","4","SHARED_UNCHANGED","P.GUARD.FRAGILE_ABRA","_cumulative_parent.py","852-897;6346-6396","KEEP","spread threat late prize clock and staged successor","suppress top Abra PLAY","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"741","Abra","4","4","SHARED_UNCHANGED","P.SCORE.CARD.SHARED","_cumulative_parent.py","5911-6012","KEEP","switch setup search attach bench deck contexts","rank Alakazam line Duns engine and energies","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"741","Abra","4","4","SHARED_UNCHANGED","P.SCORE.PLAY_POKEMON.S","_cumulative_parent.py","6018-6066","KEEP","legal Pokemon PLAY during main/setup","rank Abra Duns Fez Shaymin with bench guards","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"741","Abra","4","4","SHARED_UNCHANGED","P.SCORE.ATTACH.S","_cumulative_parent.py","6172-6206","KEEP","legal energy attachment","rank retreat need Abra line and Duns draw","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"741","Abra","4","4","SHARED_UNCHANGED","P.SCORE.RETREAT_ATTACK","_cumulative_parent.py","6271-6294","KEEP","legal retreat or attack","preserve ready Alakazam; score Powerful Hand/Super Psy Bolt/Teleport","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"742","Kadabra","4","4","SHARED_UNCHANGED","P.TX.STRANDED_RETREAT","_cumulative_parent.py","3537-3914","KEEP","END or nonlethal active with lethal ready bench Alakazam","retreat; pay; promote; Powerful Hand","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"742","Kadabra","4","4","SHARED_UNCHANGED","P.TX.ZERO_DECK_ASH","_cumulative_parent.py","5131-5204;5315-5405","KEEP","deck zero and parent chose nonterminal attack","Sacred Ash; restore first legal recoverables","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"742","Kadabra","4","4","SHARED_UNCHANGED","P.MODEL.TARGET_SAFETY","_cumulative_parent.py","5753-5898","KEEP","rank terminal and killable targets with resource floors","choose target and model Hammer/Boss counts","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"742","Kadabra","4","4","SHARED_UNCHANGED","P.SCORE.CARD.SHARED","_cumulative_parent.py","5911-6012","KEEP","switch setup search attach bench deck contexts","rank Alakazam line Duns engine and energies","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"742","Kadabra","4","4","SHARED_UNCHANGED","P.SCORE.ATTACH.S","_cumulative_parent.py","6172-6206","KEEP","legal energy attachment","rank retreat need Abra line and Duns draw","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"742","Kadabra","4","4","SHARED_UNCHANGED","P.SCORE.EVOLVE","_cumulative_parent.py","6208-6239","KEEP","legal evolve option","rank Alakazam Kadabra Dudunsparce with draw safety","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"742","Kadabra","4","4","SHARED_UNCHANGED","P.SCORE.RETREAT_ATTACK","_cumulative_parent.py","6271-6294","KEEP","legal retreat or attack","preserve ready Alakazam; score Powerful Hand/Super Psy Bolt/Teleport","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"742","Kadabra","4","4","SHARED_UNCHANGED","I.ACTIVE_DUDUN_KO","planner_active_dudunsparce_ko.py","199-215;357-416;593-614","MODIFY_IN_V1","damaged active Dudun and unique ready lethal bench after three draws","Run Away; promote; exact KO attack","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"742","Kadabra","4","4","SHARED_UNCHANGED","I.PSYCHIC_READINESS","planner_final_policy.py","735-842;1274-1408","KEEP","parent END/attach consumption with exact H0 or unique H1","attach Basic/Telepath; optional search; attack or reserve","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"743","Alakazam","3","4","INCREASED_COPY","P.TX.ACTIVE_PSYCHIC_KO","_cumulative_parent.py","2642-2737;2813-2861","KEEP","active unenergized Alakazam becomes exactly lethal after attach","attach; optional Telepath empty search; Powerful Hand","inherited dynamic option/count behavior; no new strategy","gate added copy for package-specific recovery/disruption/terminal use","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","normally shadows integrated terminal attach"
