"rule_id","source_file","line_range","function_or_site","card_ids","deck_relation","trigger","action_or_effect","priority","fallback_relation","shared_51_relation","deleted_9_relation","added_9_relation","saved_state_fire_count","matchup_fire_counts","fire_win_loss","conflicting_rules","classification","evidence_status","notes"
"P.GUARD.H0_H1","_cumulative_parent.py","4717-5030;5408-5508","_turn_guard_parent_projection/_action/wrapper","743;1182;1184;1197;1266","S_A","ready lethal H0 with exactly one successor","replace destructive projection with Powerful Hand unless superior Boss","turn guard","unknown projection to parent","preserve shared guard","NOT_APPLICABLE","new PLAY IDs missing from projection","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.TX.EXACT_PRIZE_LANE;I.POWERFUL_HAND_FLOOR","MODIFY_IN_V1","STATIC_SOURCE_VERIFIED","NONE"
"P.GUARD.THIN_HELMET","_cumulative_parent.py","5058-5128","_turn_guard_thin_deck_helmet_action","1156","D9","deck at most two and active Helmet attach without recycle","force unique attack or END","turn guard","otherwise parent","NOT_APPLICABLE","remove own-only route","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","NONE","REMOVE","STATIC_SOURCE_VERIFIED","NONE"
"P.OVERLAY.RUN_AWAY_HIT_BOUND","_cumulative_parent.py","6298-6344","Run Away hit-bound overlay","66;743","S51","safe three-draw strictly reduces hits to KO","raise cheapest bench Dudunsparce ability score above Powerful Hand","score overlay","no certificate leaves parent winner","preserve","NOT_APPLICABLE","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","I.ACTIVE_DUDUN_KO","KEEP","STATIC_SOURCE_VERIFIED","NONE"
"P.GUARD.FRAGILE_ABRA","_cumulative_parent.py","852-897;6346-6396","_fragile_bench_prize_clock_guard_certified","741;743;343;1264","S_PLUS_PUBLIC_D","spread threat late prize clock and staged successor","suppress top Abra PLAY","score overlay","no certificate preserves score","preserve","1264 remains opponent/public semantic","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","NONE","KEEP","STATIC_SOURCE_VERIFIED","NONE"
"P.MODEL.HAND","_cumulative_parent.py","5704-5751","maximum hand-growth model","66;140;1225;1182;13;1184;1197","S_A","estimate Powerful Hand after candidate action","project hand and counter count","model input","unknown action cannot certify","preserve base model","NOT_APPLICABLE","Lana and Xerosic deltas absent","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.GUARD.H0_H1","MODIFY_IN_V1","STATIC_SOURCE_VERIFIED","NONE"
"P.MODEL.TARGET_SAFETY","_cumulative_parent.py","5753-5898","target and safe-draw model","742;743;1081;1182","S_PLUS_COPY","rank terminal and killable targets with resource floors","choose target and model Hammer/Boss counts","model input","unknown to active target","preserve","NOT_APPLICABLE","1081/1182 extra copies automatic","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.TX.EXACT_PRIZE_LANE","KEEP","STATIC_SOURCE_VERIFIED","NONE"
"P.SCORE.PRIMITIVE","_cumulative_parent.py","5900-5910","primitive option scoring","ALL","GENERIC","NUMBER YES NO END or unhandled primitive","number; yes=1; no/end=0","base scorer","stable selection","preserve","NOT_APPLICABLE","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.SCORE.STABLE_SELECT","KEEP","STATIC_SOURCE_VERIFIED","NONE"
"P.SCORE.CARD.SHARED","_cumulative_parent.py","5911-6012","shared CARD context scoring","741;742;743;305;66;140;343;5;19;13","S51","switch setup search attach bench deck contexts","rank Alakazam line Duns engine and energies","card scoring","unhandled context score 0","preserve","NOT_APPLICABLE","extra 743 count automatic","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.SCORE.CARD.UNMODELED","KEEP","STATIC_SOURCE_VERIFIED","NONE"
"P.SCORE.CARD.D858","_cumulative_parent.py","5935-5943;5990-6004","Psyduck CARD scoring","858","D9","setup or water-threat bench target","rank Psyduck or reject","card scoring","default score otherwise","NOT_APPLICABLE","remove own-only route","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","NONE","REMOVE","STATIC_SOURCE_VERIFIED","NONE"
"P.SCORE.CARD.UNMODELED","_cumulative_parent.py","5911-6012","unhandled CARD contexts","1184;1197","A9","DISCARD HEAL or unnamed child prompt","score 0 and retain engine option order","card scoring","stable fallback","NOT_APPLICABLE","NOT_APPLICABLE","new children lack semantics","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","GAP.A1184.LANA;GAP.A1197.XEROSIC","PORT_ONLY","STATIC_SOURCE_VERIFIED","v0 explicit forced-discard hook only"
"P.SCORE.PLAY_POKEMON.S","_cumulative_parent.py","6018-6066","shared Pokemon PLAY scoring","741;305;140;343","S51","legal Pokemon PLAY during main/setup","rank Abra Duns Fez Shaymin with bench guards","PLAY scoring","reject unsafe plays","preserve","NOT_APPLICABLE","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","I.SETUP_STOP","KEEP","STATIC_SOURCE_VERIFIED","NONE"
"P.SCORE.PLAY_POKEMON.D","_cumulative_parent.py","6046-6056","deleted Pokemon PLAY scoring","142;858;1156","D9","Genesect before ACE or Psyduck water/Duskull context","rank or reject deleted Pokemon","PLAY scoring","default Pokemon score","NOT_APPLICABLE","remove own-only routes","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","NONE","REMOVE","STATIC_SOURCE_VERIFIED","NONE"
"P.SCORE.PLAY_TRAINER.S","_cumulative_parent.py","6071-6149","named Trainer PLAY scoring","1086;1097;1129;1081;1182;1225;1079;1152;1231","S51_PLUS_COPY","legal named Trainer PLAY","rank searches recovery Hammer Boss Hilda Dawn","PLAY scoring","unsafe named play score -1","preserve","NOT_APPLICABLE","1081/1182 extra copies automatic","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.SCORE.PLAY_ADDED_FALLTHROUGH","KEEP","STATIC_SOURCE_VERIFIED","NONE"
"P.SCORE.PLAY_TRAINER.D","_cumulative_parent.py","6130-6131;6151-6157","deleted Trainer/Stadium PLAY scoring","1156;1264","D9","Helmet or Battle Cage in own hand","score 7000 or 19000/7000","PLAY scoring","otherwise -1","NOT_APPLICABLE","remove own-only routes; retain public semantics","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","NONE","REMOVE","STATIC_SOURCE_VERIFIED","NONE"
"P.SCORE.PLAY_ADDED_FALLTHROUGH","_cumulative_parent.py","6068-6069","unnamed non-Pokemon PLAY scoring","1184;1197;1266","A9","new card exposed as legal PLAY","frozen gives 10000; v0 overrides to -1 hold","PLAY scoring","v0 V0_GENERIC_HOLD","NOT_APPLICABLE","NOT_APPLICABLE","all new IDs","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","all evolve attach retreat attack scores","PORT_ONLY","STATIC_SOURCE_VERIFIED","prevents accidental generic preemption"
"P.SCORE.ATTACH.S","_cumulative_parent.py","6172-6206","energy ATTACH scoring","5;19;13;741;742;743;305;66","S51","legal energy attachment","rank retreat need Abra line and Duns draw","ATTACH scoring","unsafe attach rejected","preserve","NOT_APPLICABLE","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.TX.ACTIVE_PSYCHIC_KO","KEEP","STATIC_SOURCE_VERIFIED","NONE"
"P.SCORE.ATTACH.D1156","_cumulative_parent.py","6163-6170","Lucky Helmet ATTACH scoring","1156;142","D9","legal Helmet attachment","score 7000 plus Genesect/position bonuses","ATTACH scoring","default attach score","NOT_APPLICABLE","remove own-only route","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.GUARD.THIN_HELMET","REMOVE","STATIC_SOURCE_VERIFIED","NONE"
"P.SCORE.EVOLVE","_cumulative_parent.py","6208-6239","EVOLVE scoring","66;742;743","S51_PLUS_COPY","legal evolve option","rank Alakazam Kadabra Dudunsparce with draw safety","EVOLVE scoring","stable selection","preserve","NOT_APPLICABLE","fourth 743 automatic","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","I.SETUP_STOP","KEEP","STATIC_SOURCE_VERIFIED","NONE"
"P.SCORE.ABILITY.S","_cumulative_parent.py","6240-6265","named ABILITY scoring","66;140","S51","Dudunsparce or Fez ability legal","score only when needed and safe","ABILITY scoring","unsafe ability rejected","preserve","NOT_APPLICABLE","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","I.ACTIVE_DUDUN_KO","KEEP","STATIC_SOURCE_VERIFIED","NONE"
"P.SCORE.ABILITY.FALLTHROUGH","_cumulative_parent.py","6266-6269","generic ABILITY scoring","1264;1266","D_A","unnamed ability legal","Battle Cage=1; every other ability=28000","ABILITY scoring","stable selection","NOT_APPLICABLE","1264 public special case","Mine ability incorrectly generic","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","GAP.A1266.MINE","MODIFY_IN_V1","STATIC_SOURCE_VERIFIED","NONE"
"P.SCORE.RETREAT_ATTACK","_cumulative_parent.py","6271-6294","RETREAT and ATTACK scoring","741;742;743;305;66;140;142;858","S_PLUS_D","legal retreat or attack","preserve ready Alakazam; score Powerful Hand/Super Psy Bolt/Teleport","late base scoring","stable selection","preserve shared logic","remove deleted retreat names only","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.TX.STRANDED_RETREAT;P.TX.FEZ_BRIDGE","KEEP","STATIC_SOURCE_VERIFIED","NONE"
"P.SCORE.STABLE_SELECT","_cumulative_parent.py","6398-6418","stable score selection","ALL","ALL","all legal options scored","descending score; engine order breaks ties; first maxCount","final parent selector","none","preserve","NOT_APPLICABLE","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","all score rules","KEEP","STATIC_SOURCE_VERIFIED","no separate minCount fill rule"
"I.ARBITER_OBJECTIVE","planner_final_policy.py;planner_model.py","118-160;1513-1612;223-250","_candidate_objective/_arbitrate_new_plan","ALL","ALL","no transaction owner after parent action","choose certified plan only if objective beats parent","integrated new-plan arbiter","otherwise exact parent","preserve","NOT_APPLICABLE","new cards require explicit candidate gates","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.TX.EXACT_PRIZE_LANE;I.ACTIVE_DUDUN_KO","KEEP","STATIC_SOURCE_VERIFIED","NONE"
"I.DOMAIN_GATE","planner_integrated.py;planner_final_policy.py","280-312;205-224;368-387","_domain_certificate/_certify/_admit","ALL","ALL","candidate has incomplete Boss bench recovery Hammer or setup evidence","reject override","before arbiter admission","parent action","preserve","NOT_APPLICABLE","new cards need exact certificates","801_CURRENT42_ADMISSIBILITY_REJECT_CALLBACKS","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","I.ARBITER_OBJECTIVE","KEEP","STATIC_SOURCE_VERIFIED","NONE"
"I.ACTIVE_DUDUN_KO","planner_active_dudunsparce_ko.py","199-215;357-416;593-614","certificate/advance","66;305;742;743;1264;1266","S_D_A","damaged active Dudun and unique ready lethal bench after three draws","Run Away; promote; exact KO attack","highest integrated new plan","fail closed to parent","preserve core","1264 sole visible stadium allowlist","1266 currently disables signature rule","92_CURRENT42_TRACE_CALLBACKS;4_CERTIFIED_STARTS","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","I.PSYCHIC_READINESS;I.SETUP_STOP","MODIFY_IN_V1","STATIC_SOURCE_VERIFIED","NONE"
"I.PSYCHIC_READINESS","planner_final_policy.py","735-842;1274-1408","_psychic_readiness_certificate/continuation","5;19;742;743","S51","parent END/attach consumption with exact H0 or unique H1","attach Basic/Telepath; optional search; attack or reserve","integrated fallback candidate","parent-identical/abort states","preserve","NOT_APPLICABLE","NOT_APPLICABLE","425_CURRENT42_KIND_CALLBACKS","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","I.ARBITER_OBJECTIVE","KEEP","STATIC_SOURCE_VERIFIED","NONE"
"I.POWERFUL_HAND_FLOOR","planner_policy.py","309-340","_build_powerful_hand_floor","743","S51","ready lethal Alakazam and parent nonattack loses lethal/successor","force Powerful Hand","integrated candidate","parent if no certificate","preserve","NOT_APPLICABLE","NOT_APPLICABLE","409_CURRENT42_KIND_CALLBACKS","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.GUARD.H0_H1;I.SETUP_STOP","KEEP","STATIC_SOURCE_VERIFIED","NONE"
"I.HILDA_ENRICHING","planner_policy.py","353-414;615-650","_build/_advance_hilda_enriching","1225;13;142","S_PLUS_D","Hilda energy child without H0/H1/Telepath target and safe draw","choose Enriching then active attach; verify draw four","integrated transaction","abort to parent","preserve","142 fallback inert","NOT_APPLICABLE","30_CURRENT42_KIND_CALLBACKS","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.TX.HILDA_RESERVE","KEEP","STATIC_SOURCE_VERIFIED","NONE"
"I.RUN_AWAY_SETUP","planner_policy.py","417-468;653-677","_build/_advance_run_away","66;142","S_PLUS_D","parent END; active unenergized Dudun; no H0/H1; safe draw","Run Away then Genesect-first or lowest-serial promotion","integrated candidate","abort to parent","core preserved","Genesect preference removed","NOT_APPLICABLE","102_CURRENT42_KIND_CALLBACKS","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","I.ACTIVE_DUDUN_KO","MODIFY_IN_V2","STATIC_SOURCE_VERIFIED","new deck falls back to serial order"
"I.FAN_RESPONSE","planner_policy.py","485-536;733-788","_build/_advance_fan_attach","1161;142","D9","Handheld Fan response to positive attack","attach/move energy to minimize readiness","integrated candidate","abort to parent","NOT_APPLICABLE","remove own-only transaction","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","NONE","REMOVE","STATIC_SOURCE_VERIFIED","NONE"
"I.TERMINAL_ATTACH","planner_policy.py","539-591;791-815","_terminal_attach_candidate/_advance_terminal","5;19;743","S51","exact two-prize state and parent Enriching-to-bench","Basic to active; Powerful Hand; select two prizes","integrated candidate","abort to parent","preserve","NOT_APPLICABLE","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.TX.ACTIVE_PSYCHIC_KO","UNKNOWN","STATIC_SOURCE_VERIFIED","likely shadowed but not totally proven dead"
"I.SETUP_STOP","planner_final_policy.py","227-258","_setup_stop_candidate","743;1182;1081;1129;1264;1184;1197;1266","S_D_A","unique H0 attack versus optional play/ability/end","attack unless protected action has exact better floor","integrated candidate","parent on failed final admission","preserve shared protection","1264 protected","new cards absent from protected treatment","790_CURRENT42_KIND_CALLBACKS","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","I.POWERFUL_HAND_FLOOR;I.ARBITER_OBJECTIVE","MODIFY_IN_V1","STATIC_SOURCE_VERIFIED","NONE"
"I.DRAW_CLOCK","planner_final_policy.py","51-74","_ordered_draw_clock","1156","S_PLUS_D","objective estimates next draws/H2","reserve clock; active Helmet may add forced draw two","objective model","unknown draws excluded","preserve base clock","remove Helmet subrule","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","I.ARBITER_OBJECTIVE","MODIFY_IN_V1","STATIC_SOURCE_VERIFIED","base draw clock is kept; Lucky Helmet subrule is removed in v1"
"DEAD.CORE_NEW_PLAN","planner_policy.py","594-604","_new_plan","ALL","ALL","would dispatch first-match builders","overwritten; never selected","dead","none","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","0_PROVEN_OVERWRITTEN","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","I.ARBITER_OBJECTIVE","DEAD","STATIC_SOURCE_VERIFIED","NONE"
"DEAD.DOMAIN_NEW_PLAN","planner_integrated.py;planner_final_policy.py","340-397;1641","_domain_new_plan","ALL","ALL","earlier domain dispatcher","overwritten by final arbiter install","dead","none","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","0_PROVEN_OVERWRITTEN","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","I.ARBITER_OBJECTIVE","DEAD","STATIC_SOURCE_VERIFIED","NONE"
"GAP.A1184.LANA","_cumulative_parent.py","6068-6069;5911-6012","missing named Lana contract","1184","A9","Lana PLAY or HEAL child","frozen generic PLAY=10000; child score=0; v0 hold","gap","v0 explicit hold/forced discard","NOT_APPLICABLE","NOT_APPLICABLE","new card","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.MODEL.HAND;P.TX.GUARDED_TELEPORT","MODIFY_IN_V1","STATIC_SOURCE_VERIFIED","needs recovery legality and final hand floor"
"GAP.A1197.XEROSIC","_cumulative_parent.py","6068-6069;5911-6012","missing named Xerosic contract","1197","A9","Xerosic PLAY or discard-to-three child","frozen generic PLAY=10000; discard original order; v0 hold/forced discard","gap","v0 explicit hold/forced discard","NOT_APPLICABLE","NOT_APPLICABLE","new card","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.MODEL.HAND;I.SETUP_STOP","MODIFY_IN_V1","STATIC_SOURCE_VERIFIED","needs exact hand collapse and one-card corridor"
"GAP.A1266.MINE","_cumulative_parent.py;planner_active_dudunsparce_ko.py","6068-6069;6266-6269;199-215","missing named Nighttime Mine contract","1266","A9","Mine PLAY ability search or stadium modifier","frozen PLAY=10000/ability=28000 and certificates reject; v0 hold","gap","v0 explicit hold","NOT_APPLICABLE","NOT_APPLICABLE","new card","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","GATE.EXACTNESS;I.ACTIVE_DUDUN_KO;P.TX.EXACT_PRIZE_LANE","MODIFY_IN_V1","STATIC_SOURCE_VERIFIED","needs exact Tera attack-stop and allowlists"
